Participant Table
Participant,Age,Sex,FBInfo
447d9d6559a5163e5297,30,0,N/A


Single-Player Game Level
Participant,GameNum,PlayerNum,Difficulty,RoundDuration,Hits,Confidence,Assets,AI_Assets,TotalTime,TargetLocations,Choices,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,1959,1,4,0,0;5;10;15;20,,
447d9d6559a5163e5297,1959,1,4,1,15;17;18,16;19,
447d9d6559a5163e5297,1959,1,4,2,5;6;7,9,8
447d9d6559a5163e5297,1959,1,4,3,,,10
447d9d6559a5163e5297,1959,1,4,4,16,,
447d9d6559a5163e5297,1959,1,4,5,,,17
447d9d6559a5163e5297,1959,1,4,6,,,
447d9d6559a5163e5297,1959,1,5,0,,,
447d9d6559a5163e5297,1959,1,5,1,,,
447d9d6559a5163e5297,1959,1,5,2,,,
447d9d6559a5163e5297,1959,1,5,3,,,
